,auc_prob,auc_pred,fbeta,f1,plr,nlr,perm_score,pval_score,train_score,fold,gen,model,subset
5,0.52953,0.5074,0.65775,0.65775,1.0305,0.97125,0.49901,0.0198,0.5759,1,combine,bnb,top5
6,0.52953,0.5074,0.65775,0.65775,1.0305,0.97125,0.49901,0.0198,0.5759,1,combine,bnb,top5
7,0.52953,0.5074,0.65775,0.65775,1.0305,0.97125,0.49901,0.0198,0.5759,1,combine,bnb,top5
8,0.52953,0.5074,0.65775,0.65775,1.0305,0.97125,0.49901,0.0198,0.5759,1,combine,bnb,top5
9,0.52953,0.5074,0.65775,0.65775,1.0305,0.97125,0.49901,0.0198,0.5759,1,combine,bnb,top5
0,0.5652,0.53665,0.69628,0.69628,1.16713,0.86943,0.50618,0.72277,0.48799,2,combine,bnb,top5
1,0.5652,0.53665,0.69628,0.69628,1.16713,0.86943,0.50618,0.72277,0.48799,2,combine,bnb,top5
2,0.5652,0.53665,0.69628,0.69628,1.16713,0.86943,0.50618,0.72277,0.48799,2,combine,bnb,top5
3,0.5652,0.53665,0.69628,0.69628,1.16713,0.86943,0.50618,0.72277,0.48799,2,combine,bnb,top5
4,0.5652,0.53665,0.69628,0.69628,1.16713,0.86943,0.50618,0.72277,0.48799,2,combine,bnb,top5
5,0.5652,0.53665,0.69628,0.69628,1.16713,0.86943,0.50618,0.72277,0.48799,2,combine,bnb,top5
6,0.5652,0.53665,0.69628,0.69628,1.16713,0.86943,0.50618,0.72277,0.48799,2,combine,bnb,top5
7,0.5652,0.53665,0.69628,0.69628,1.16713,0.86943,0.50618,0.72277,0.48799,2,combine,bnb,top5
8,0.5652,0.53665,0.69628,0.69628,1.16713,0.86943,0.50618,0.72277,0.48799,2,combine,bnb,top5
9,0.5652,0.53665,0.69628,0.69628,1.16713,0.86943,0.50618,0.72277,0.48799,2,combine,bnb,top5
0,0.51605,0.50616,0.71268,0.71268,1.02961,0.97889,0.50192,0.14851,0.5413,3,combine,bnb,top5
1,0.51605,0.50616,0.71268,0.71268,1.02961,0.97889,0.50192,0.14851,0.5413,3,combine,bnb,top5
2,0.51605,0.50616,0.71268,0.71268,1.02961,0.97889,0.50192,0.14851,0.5413,3,combine,bnb,top5
3,0.51605,0.50616,0.71268,0.71268,1.02961,0.97889,0.50192,0.14851,0.5413,3,combine,bnb,top5
4,0.51605,0.50616,0.71268,0.71268,1.02961,0.97889,0.50192,0.14851,0.5413,3,combine,bnb,top5
5,0.51605,0.50616,0.71268,0.71268,1.02961,0.97889,0.50192,0.14851,0.5413,3,combine,bnb,top5
6,0.51605,0.50616,0.71268,0.71268,1.02961,0.97889,0.50192,0.14851,0.5413,3,combine,bnb,top5
7,0.51605,0.50616,0.71268,0.71268,1.02961,0.97889,0.50192,0.14851,0.5413,3,combine,bnb,top5
8,0.51605,0.50616,0.71268,0.71268,1.02961,0.97889,0.50192,0.14851,0.5413,3,combine,bnb,top5
